course_level,ERM_SCORE,sat_new_math,act_math,hs_gpa,Compliance,course_number_updated
290,40.0,,18.0,3.42,Compliant,105Q
300,,,25.0,3.09,Compliant,121Q
300,,,26.0,3.6,Compliant,216Q
100,,490.0,,2.72,Uncompliant,Combo2
400,,,26.0,3.91,Compliant,161Q
400,,,25.0,3.55,Compliant,161Q
250,,490.0,,2.78,Uncompliant,Combo3
500,,580.0,24.0,3.93,Compliant,171Q
400,,550.0,26.0,3.61,Compliant,161Q
300,,670.0,,3.7,Compliant,216Q
400,,650.0,,3.44,Compliant,161Q
400,,,,,Uncompliant,161Q
300,,,24.0,,Compliant,132
400,,,22.0,3.95,Compliant,161Q
290,,,,,Uncompliant,105Q
250,,,17.0,3.29,Compliant,Combo3
300,30.0,,,3.88,Compliant,121Q
150,,540.0,,3.93,Compliant,Combo1
300,,,25.0,4.0,Compliant,216Q
400,,,12.0,1.38,Uncompliant,161Q
400,,,17.0,3.12,Compliant,161Q
100,,510.0,17.0,2.8,Compliant,Combo2
400,40.0,500.0,,3.47,Compliant,151Q
300,,590.0,,3.74,Compliant,216Q
300,,540.0,,3.74,Compliant,121Q
300,,490.0,,3.02,Compliant,216Q
500,30.0,,,3.17,Compliant,171Q
300,,,,3.91,Compliant,216Q
250,,,24.0,3.6,Compliant,Combo3
300,40.0,,,,Compliant,121Q
300,,,24.0,3.55,Compliant,216Q
300,,510.0,23.0,4.0,Compliant,121Q
300,30.0,,,2.5,Compliant,121Q
400,,,16.0,3.64,Compliant,151Q
400,,,19.0,3.49,Compliant,151Q
500,,,32.0,4.0,Compliant,171Q
300,,,23.0,,Compliant,121Q
300,30.0,,,3.47,Compliant,121Q
400,,,24.0,3.4,Compliant,161Q
300,,,,,Uncompliant,216Q
400,,,,,Uncompliant,161Q
290,,580.0,,3.62,Compliant,105Q
300,,640.0,,4.0,Compliant,216Q
300,,630.0,,3.92,Compliant,216Q
300,,630.0,,3.33,Compliant,216Q
300,,590.0,,3.96,Compliant,216Q
300,30.0,430.0,,3.46,Compliant,121Q
300,,600.0,,,Uncompliant,216Q
300,,,23.0,3.09,Compliant,121Q
400,,540.0,,3.12,Compliant,161Q
300,,,24.0,3.2,Compliant,121Q
300,30.0,,,,Compliant,216Q
300,,,24.0,1.75,Compliant,216Q
400,,,20.0,2.78,Uncompliant,151Q
300,,550.0,,,Uncompliant,216Q
500,,670.0,,4.0,Compliant,171Q
400,,,27.0,2.82,Uncompliant,161Q
300,,,23.0,2.54,Compliant,216Q
400,,,,3.98,Compliant,151Q
300,,,23.0,3.91,Compliant,216Q
100,,,16.0,3.0,Compliant,Combo2
500,,,27.0,3.47,Compliant,165Q
150,,,16.0,3.2,Compliant,Combo1
290,,,23.0,3.78,Compliant,105Q
290,,,25.0,,Uncompliant,105Q
300,,660.0,,4.0,Compliant,216Q
400,40.0,,24.0,3.2,Compliant,151Q
300,,,22.0,4.0,Compliant,216Q
300,,,19.0,3.8,Compliant,216Q
400,,,25.0,2.41,Compliant,151Q
300,,,30.0,3.88,Compliant,216Q
150,15.0,,,3.5,Compliant,Combo1
300,,,,,Uncompliant,216Q
400,,590.0,27.0,3.3,Compliant,151Q
400,,620.0,28.0,4.0,Compliant,161Q
400,30.0,,18.0,3.07,Compliant,161Q
150,,,15.0,,Uncompliant,Combo1
300,,,24.0,3.53,Compliant,216Q
400,,,28.0,2.9,Uncompliant,161Q
400,,,21.0,,Uncompliant,151Q
300,,,23.0,3.61,Compliant,216Q
300,,,23.0,3.32,Compliant,121Q
300,,,,,Uncompliant,216Q
150,,,23.0,3.28,Compliant,Combo1
150,,,15.0,2.97,Uncompliant,090
100,15.0,,18.0,3.17,Compliant,Combo2
300,,,24.0,3.82,Compliant,216Q
400,,,25.0,2.73,Compliant,151Q
300,,,26.0,4.0,Compliant,216Q
290,,,25.0,2.5,Uncompliant,105Q
300,,,25.0,2.79,Uncompliant,216Q
300,,,23.0,4.0,Compliant,216Q
300,,,32.0,3.81,Compliant,216Q
100,,,18.0,3.0,Compliant,Combo2
100,,,20.0,3.22,Compliant,Combo2
400,,,23.0,3.8,Compliant,161Q
400,,,21.0,3.08,Compliant,151Q
300,,,22.0,3.57,Compliant,121Q
300,,,24.0,3.91,Compliant,216Q
300,,,31.0,,Uncompliant,216Q
400,,,16.0,3.4,Compliant,161Q
150,,,19.0,3.08,Compliant,Combo1
300,,,22.0,3.55,Compliant,216Q
300,,,27.0,4.0,Compliant,216Q
300,,,25.0,3.95,Compliant,216Q
250,,,19.0,3.2,Compliant,Combo3
100,,,18.0,2.61,Uncompliant,Combo2
400,,,19.0,3.33,Compliant,151Q
400,,,25.0,3.17,Compliant,151Q
300,,,18.0,3.89,Compliant,216Q
300,,,25.0,,Uncompliant,216Q
150,,,14.0,3.26,Compliant,Combo1
300,,,26.0,3.48,Compliant,216Q
250,,,20.0,3.0,Compliant,Combo3
300,,,26.0,3.64,Compliant,216Q
300,,,25.0,4.0,Compliant,216Q
400,,,26.0,4.0,Compliant,161Q
400,,,20.0,3.81,Compliant,161Q
300,,,,,Uncompliant,121Q
400,,,16.0,3.71,Compliant,161Q
150,,,17.0,3.51,Compliant,Combo1
400,,,23.0,3.3,Compliant,161Q
400,,,23.0,3.93,Compliant,161Q
300,,,24.0,3.31,Compliant,121Q
400,,,26.0,3.8,Compliant,161Q
400,,,32.0,3.6,Compliant,161Q
300,,,23.0,2.58,Compliant,121Q
290,,,23.0,2.97,Uncompliant,105Q
300,,,23.0,2.0,Compliant,121Q
250,,,21.0,,Compliant,Combo3
400,,,23.0,3.94,Compliant,151Q
400,,,27.0,,Uncompliant,161Q
300,,,27.0,,Uncompliant,216Q
300,,,17.0,2.62,Uncompliant,121Q
400,,,27.0,4.0,Compliant,151Q
300,,,25.0,3.65,Compliant,132
400,,,19.0,3.72,Compliant,161Q
300,,,24.0,,Compliant,121Q
290,,,22.0,2.5,Compliant,105Q
300,,520.0,22.0,3.78,Compliant,216Q
400,,,25.0,3.23,Compliant,161Q
500,,,29.0,3.53,Compliant,165Q
500,40.0,,22.0,,Uncompliant,171Q
500,,,24.0,3.9,Compliant,165Q
400,,,20.0,4.0,Compliant,161Q
150,,,17.0,3.58,Compliant,Combo1
300,,,18.0,3.6,Compliant,216Q
250,,,20.0,3.14,Compliant,Combo3
250,,,15.0,2.8,Uncompliant,Combo3
150,,,19.0,3.0,Compliant,Combo1
400,,,24.0,3.79,Compliant,161Q
400,,,27.0,3.37,Compliant,151Q
300,,,21.0,3.87,Compliant,216Q
300,,,31.0,3.61,Compliant,216Q
100,,,15.0,3.2,Compliant,Combo2
300,,,25.0,4.0,Compliant,216Q
250,,,20.0,3.72,Compliant,Combo3
500,,,24.0,3.4,Compliant,165Q
300,,,21.0,,Uncompliant,216Q
300,,,26.0,3.0,Compliant,216Q
500,,,22.0,3.16,Compliant,165Q
400,,490.0,18.0,3.37,Compliant,161Q
250,,,22.0,2.67,Uncompliant,Combo3
250,,,20.0,3.0,Compliant,Combo3
100,,,17.0,3.48,Compliant,Combo2
400,,,27.0,3.63,Compliant,161Q
250,,,21.0,3.1,Compliant,Combo3
500,40.0,,26.0,3.8,Compliant,171Q
300,,670.0,28.0,3.35,Compliant,216Q
500,,520.0,25.0,3.31,Compliant,171Q
150,,,20.0,2.58,Compliant,090
400,,,22.0,2.97,Uncompliant,161Q
300,40.0,,16.0,2.3,Compliant,121Q
300,30.0,,24.0,2.47,Compliant,121Q
500,30.0,,17.0,3.0,Compliant,171Q
400,,570.0,22.0,3.1,Compliant,161Q
300,,,23.0,3.98,Compliant,216Q
400,,,23.0,3.14,Compliant,161Q
300,,,17.0,3.6,Compliant,121Q
290,30.0,430.0,,3.78,Compliant,105Q
300,,,16.0,2.8,Uncompliant,132
100,10.0,,16.0,2.5,Compliant,Combo2
400,,,24.0,3.06,Compliant,161Q
500,40.0,660.0,27.0,3.5,Compliant,171Q
300,,,28.0,3.6,Compliant,216Q
150,,,20.0,3.44,Compliant,090
300,,,19.0,,Uncompliant,132
300,,,28.0,,Uncompliant,216Q
100,,,16.0,2.17,Compliant,Combo2
300,,,22.0,3.45,Compliant,216Q
100,10.0,,14.0,2.88,Compliant,088
400,,,22.0,2.78,Uncompliant,161Q
400,,,20.0,3.2,Compliant,151Q
400,,,23.0,3.64,Compliant,161Q
300,25.0,,20.0,2.18,Uncompliant,121Q
100,,,16.0,2.6,Compliant,Combo2
150,,,15.0,3.0,Compliant,Combo1
300,,,22.0,3.96,Compliant,132
100,,,20.0,2.6,Uncompliant,Combo2
250,,,20.0,3.0,Compliant,Combo3
250,,520.0,20.0,2.66,Uncompliant,Combo3
400,,,25.0,3.95,Compliant,161Q
400,,,22.0,3.0,Compliant,151Q
290,,,24.0,3.11,Compliant,105Q
150,,,17.0,3.07,Compliant,Combo1
400,,,23.0,3.15,Compliant,151Q
300,,,22.0,3.9,Compliant,132
300,,780.0,30.0,4.0,Compliant,216Q
400,,,14.0,3.0,Compliant,161Q
150,,,,3.25,Compliant,Combo1
300,,,,,Uncompliant,216Q
500,,,23.0,3.5,Compliant,171Q
400,,510.0,19.0,3.3,Compliant,161Q
250,,,24.0,2.88,Uncompliant,Combo3
150,,,16.0,3.26,Compliant,Combo1
250,,,21.0,2.65,Compliant,Combo3
250,,,15.0,2.48,Uncompliant,Combo3
100,,,19.0,2.67,Uncompliant,Combo2
400,,,25.0,3.0,Compliant,161Q
500,,,27.0,3.75,Compliant,171Q
300,,,31.0,3.87,Compliant,216Q
300,,,31.0,3.87,Compliant,121Q
250,10.0,,16.0,1.92,Uncompliant,Combo3
100,10.0,,16.0,1.92,Compliant,Combo2
150,,,21.0,3.09,Compliant,Combo1
500,,,27.0,4.0,Compliant,171Q
100,,,15.0,1.29,Compliant,Combo2
400,,,16.0,3.9,Compliant,161Q
300,,,24.0,3.8,Compliant,216Q
290,15.0,,16.0,,Uncompliant,105Q
500,,,23.0,3.88,Compliant,171Q
290,,,24.0,3.7,Compliant,105Q
400,,,17.0,4.0,Compliant,161Q
150,,,19.0,3.3,Compliant,Combo1
290,,,17.0,3.2,Compliant,105Q
400,,,25.0,,Compliant,161Q
400,,,26.0,3.2,Compliant,151Q
300,,,23.0,3.61,Compliant,216Q
150,,,20.0,3.25,Compliant,Combo1
100,,,17.0,2.45,Compliant,Combo2
300,,,20.0,,Uncompliant,216Q
300,,,23.0,3.0,Compliant,121Q
100,,,16.0,1.44,Compliant,Combo2
300,,590.0,,3.27,Compliant,216Q
400,,470.0,,3.23,Compliant,151Q
300,,470.0,,4.0,Compliant,216Q
300,,670.0,,3.24,Compliant,216Q
400,,540.0,22.0,3.78,Compliant,161Q
290,,310.0,14.0,2.5,Uncompliant,105Q
100,,470.0,,3.4,Compliant,Combo2
300,,520.0,,4.0,Compliant,216Q
290,,540.0,,3.33,Compliant,105Q
400,,460.0,,2.71,Uncompliant,161Q
100,15.0,,,2.5,Compliant,Combo2
400,,560.0,,3.11,Compliant,161Q
500,,550.0,,2.95,Uncompliant,171Q
300,40.0,,25.0,3.44,Compliant,121Q
500,,,28.0,3.87,Compliant,171Q
300,,640.0,,3.96,Compliant,216Q
500,,680.0,,3.9,Compliant,165Q
400,,,23.0,3.67,Compliant,161Q
300,,,23.0,3.67,Compliant,216Q
300,,,,3.39,Compliant,216Q
500,,540.0,23.0,3.63,Compliant,165Q
400,40.0,490.0,,3.92,Compliant,151Q
300,,620.0,,4.0,Compliant,216Q
300,40.0,,,,Compliant,216Q
300,,520.0,,,Uncompliant,216Q
100,15.0,,,3.64,Compliant,Combo2
300,,560.0,,3.36,Compliant,121Q
400,,,26.0,4.0,Compliant,161Q
500,,,,3.37,Compliant,171Q
290,30.0,,,3.02,Compliant,105Q
300,,,24.0,3.52,Compliant,216Q
300,,,28.0,3.56,Compliant,216Q
300,,520.0,,3.57,Compliant,216Q
300,,,,3.12,Compliant,216Q
400,,570.0,24.0,3.42,Compliant,161Q
100,,,16.0,3.46,Compliant,Combo2
500,,,29.0,4.0,Compliant,171Q
300,,730.0,,4.0,Compliant,216Q
300,,650.0,,3.81,Compliant,216Q
150,,,15.0,3.27,Compliant,Combo1
300,,,17.0,2.83,Uncompliant,216Q
300,,,26.0,3.2,Compliant,216Q
400,,,23.0,2.26,Uncompliant,161Q
250,,,16.0,2.78,Uncompliant,Combo3
100,15.0,,15.0,2.2,Compliant,Combo2
150,,,16.0,3.17,Compliant,090
290,,,16.0,2.7,Uncompliant,105Q
250,30.0,,,,Compliant,Combo3
290,,,16.0,4.0,Compliant,105Q
500,,,25.0,3.76,Compliant,165Q
300,,530.0,,3.35,Compliant,216Q
500,,,26.0,4.0,Compliant,171Q
400,,540.0,,,Uncompliant,161Q
250,10.0,,16.0,3.31,Compliant,Combo3
100,10.0,,16.0,3.31,Compliant,Combo2
250,,420.0,,2.83,Uncompliant,Combo3
300,,,18.0,3.65,Compliant,216Q
500,,,31.0,4.0,Compliant,171Q
300,,,26.0,3.23,Compliant,216Q
100,,,20.0,3.39,Compliant,Combo2
400,,,26.0,3.75,Compliant,161Q
300,,,26.0,3.13,Compliant,216Q
300,,,24.0,3.45,Compliant,216Q
300,,670.0,28.0,3.78,Compliant,216Q
100,,,17.0,3.6,Compliant,Combo2
300,,590.0,,,Uncompliant,216Q
250,,,22.0,3.87,Compliant,Combo3
300,,,,,Uncompliant,216Q
400,,,,3.96,Compliant,151Q
250,25.0,470.0,,3.17,Compliant,Combo3
290,,520.0,,3.91,Compliant,105Q
300,40.0,540.0,,3.89,Compliant,216Q
300,,590.0,,3.06,Compliant,216Q
400,,530.0,,3.87,Compliant,151Q
300,,,17.0,3.2,Compliant,216Q
300,,,24.0,3.85,Compliant,121Q
300,30.0,,,3.24,Compliant,216Q
500,,,29.0,,Uncompliant,171Q
250,25.0,,,3.05,Compliant,Combo3
300,,660.0,,3.91,Compliant,216Q
400,,,23.0,4.0,Compliant,151Q
300,,,23.0,4.0,Compliant,216Q
500,,630.0,29.0,3.88,Compliant,171Q
250,,,,3.4,Compliant,Combo3
300,,600.0,,3.81,Compliant,216Q
300,,,17.0,3.39,Compliant,216Q
400,,,23.0,3.9,Compliant,161Q
400,,,18.0,3.3,Compliant,161Q
300,,,23.0,3.47,Compliant,121Q
500,,,24.0,3.71,Compliant,171Q
150,,,16.0,3.13,Compliant,Combo1
500,,,22.0,3.87,Compliant,165Q
400,,,,3.84,Compliant,161Q
300,,,,,Uncompliant,216Q
300,,,,,Uncompliant,216Q
400,,,30.0,4.0,Compliant,161Q
150,15.0,480.0,,3.75,Compliant,090
250,,530.0,,,Compliant,Combo3
400,,,25.0,3.64,Compliant,151Q
100,,,16.0,3.33,Compliant,Combo2
290,,,26.0,3.37,Compliant,105Q
500,40.0,,27.0,3.9,Compliant,171Q
400,,,26.0,3.2,Compliant,151Q
300,,650.0,24.0,4.0,Compliant,216Q
400,,,17.0,3.33,Compliant,161Q
300,,,24.0,,Compliant,121Q
300,,590.0,,4.0,Compliant,216Q
300,,,,4.0,Compliant,216Q
100,,,18.0,4.0,Compliant,Combo2
290,,670.0,,,Uncompliant,105Q
400,,570.0,,2.69,Uncompliant,151Q
300,40.0,540.0,,2.9,Compliant,216Q
400,,600.0,,2.65,Compliant,151Q
300,,540.0,,4.0,Compliant,121Q
400,,,24.0,4.0,Compliant,161Q
100,,,18.0,3.59,Compliant,Combo2
300,,740.0,,2.73,Uncompliant,216Q
250,25.0,490.0,,2.13,Compliant,Combo3
500,,,,,Uncompliant,171Q
400,,410.0,,3.6,Compliant,161Q
300,,650.0,,3.7,Compliant,216Q
300,30.0,,24.0,3.71,Compliant,132
290,,560.0,18.0,3.38,Compliant,105Q
400,,,20.0,2.92,Uncompliant,151Q
400,40.0,,16.0,3.1,Compliant,161Q
250,25.0,,,4.0,Compliant,Combo3
100,15.0,,17.0,3.31,Compliant,Combo2
100,10.0,,18.0,3.59,Compliant,Combo2
400,,,26.0,3.84,Compliant,161Q
300,,670.0,,3.73,Compliant,216Q
300,,,23.0,3.5,Compliant,121Q
300,40.0,,,2.08,Compliant,216Q
300,,620.0,,4.0,Compliant,216Q
100,,,17.0,4.0,Compliant,Combo2
400,,,24.0,3.87,Compliant,161Q
400,,,25.0,3.98,Compliant,151Q
100,,,,,Uncompliant,Combo2
300,,680.0,,4.0,Compliant,216Q
400,,,26.0,4.0,Compliant,151Q
400,40.0,570.0,,3.91,Compliant,151Q
400,,580.0,,3.74,Compliant,151Q
300,,,,,Uncompliant,121Q
400,,,,2.63,Uncompliant,161Q
400,,,,,Uncompliant,161Q
300,,,30.0,3.72,Compliant,216Q
300,,,21.0,,Uncompliant,216Q
300,30.0,500.0,,3.75,Compliant,216Q
290,,,26.0,3.54,Compliant,105Q
500,40.0,590.0,,4.0,Compliant,171Q
300,,,26.0,4.0,Compliant,216Q
400,40.0,,,,Compliant,151Q
150,,470.0,,2.66,Compliant,Combo1
400,40.0,610.0,,3.5,Compliant,151Q
100,10.0,,,3.38,Compliant,Combo2
400,,,,3.84,Compliant,161Q
400,,,23.0,4.0,Compliant,151Q
500,,700.0,,,Uncompliant,171Q
300,,610.0,,3.44,Compliant,216Q
300,,,27.0,3.85,Compliant,216Q
100,15.0,480.0,,3.13,Compliant,Combo2
300,,,31.0,3.82,Compliant,216Q
300,30.0,,18.0,3.4,Compliant,216Q
300,,690.0,29.0,4.0,Compliant,216Q
400,40.0,,,2.67,Compliant,151Q
500,,,28.0,3.75,Compliant,171Q
300,,660.0,26.0,4.0,Compliant,216Q
500,,,28.0,2.93,Uncompliant,171Q
300,,,28.0,2.93,Uncompliant,216Q
500,40.0,500.0,,3.2,Compliant,171Q
100,10.0,,,,Compliant,088
300,,,27.0,3.82,Compliant,216Q
300,,580.0,,3.8,Compliant,216Q
300,30.0,,,,Compliant,216Q
500,,550.0,,3.25,Compliant,165Q
300,,530.0,,3.97,Compliant,216Q
300,,490.0,23.0,3.69,Compliant,121Q
300,,,23.0,3.08,Compliant,121Q
300,30.0,,,4.0,Compliant,121Q
400,,,25.0,3.93,Compliant,151Q
300,,,26.0,3.19,Compliant,121Q
100,30.0,,18.0,3.16,Compliant,Combo2
500,,,30.0,3.98,Compliant,171Q
400,40.0,,20.0,3.73,Compliant,161Q
300,30.0,,,3.46,Compliant,121Q
300,,,24.0,3.93,Compliant,216Q
400,,,26.0,3.8,Compliant,151Q
400,,,27.0,3.9,Compliant,161Q
100,,,16.0,3.8,Compliant,Combo2
150,,,18.0,4.0,Compliant,Combo1
300,,,24.0,4.0,Compliant,216Q
500,,,30.0,4.0,Compliant,171Q
300,,,26.0,3.61,Compliant,216Q
300,,800.0,,4.0,Compliant,216Q
500,,,27.0,4.0,Compliant,171Q
300,,,32.0,4.0,Compliant,216Q
500,,,27.0,4.0,Compliant,171Q
300,,,26.0,3.74,Compliant,216Q
500,,,27.0,4.0,Compliant,171Q
500,,,30.0,4.0,Compliant,171Q
400,,,21.0,3.98,Compliant,161Q
100,10.0,,,3.5,Compliant,Combo2
400,,590.0,,3.68,Compliant,151Q
290,,,24.0,3.88,Compliant,105Q
300,,550.0,19.0,3.91,Compliant,121Q
300,,,22.0,4.0,Compliant,216Q
300,,,21.0,3.27,Compliant,121Q
400,40.0,,,3.75,Compliant,151Q
400,40.0,,,4.0,Compliant,161Q
400,,,21.0,2.63,Uncompliant,161Q
400,30.0,,24.0,4.0,Compliant,151Q
250,,520.0,,3.738,Compliant,Combo3
500,,,30.0,3.25,Compliant,171Q
500,,,27.0,4.0,Compliant,171Q
400,,680.0,32.0,3.61,Compliant,151Q
400,,,25.0,3.86,Compliant,161Q
400,,,29.0,3.94,Compliant,161Q
300,,,22.0,3.49,Compliant,216Q
500,,,29.0,3.97,Compliant,171Q
500,,,26.0,3.23,Compliant,171Q
100,,,15.0,2.5,Compliant,Combo2
300,,580.0,25.0,3.0,Compliant,216Q
300,,,25.0,4.0,Compliant,216Q
100,,520.0,,3.11,Compliant,Combo2
400,40.0,520.0,,3.43,Compliant,161Q
400,,,27.0,4.0,Compliant,161Q
290,30.0,,,3.9,Compliant,105Q
300,30.0,,,,Compliant,121Q
290,,,,,Uncompliant,105Q
300,,,26.0,3.13,Compliant,121Q
500,40.0,,,3.58,Compliant,171Q
300,,,21.0,3.62,Compliant,121Q
300,30.0,,,3.38,Compliant,121Q
300,30.0,,,3.52,Compliant,121Q
400,40.0,,23.0,3.38,Compliant,161Q
500,,,19.0,,Uncompliant,171Q
290,,,22.0,,Compliant,105Q
500,,590.0,,3.58,Compliant,171Q
500,,600.0,,3.87,Compliant,171Q
150,,520.0,,3.46,Compliant,Combo1
400,,640.0,,,Uncompliant,161Q
300,,580.0,,3.68,Compliant,216Q
500,,560.0,,3.44,Compliant,171Q
400,30.0,,22.0,4.0,Compliant,151Q
500,30.0,,22.0,4.0,Compliant,171Q
300,,,17.0,2.02,Uncompliant,121Q
500,,690.0,,4.0,Compliant,171Q
300,,680.0,30.0,3.66,Compliant,216Q
300,30.0,,,3.17,Compliant,121Q
400,,570.0,,3.34,Compliant,161Q
500,,620.0,,3.61,Compliant,171Q
500,,720.0,,3.8,Compliant,171Q
250,,,22.0,3.59,Compliant,Combo3
100,15.0,,,3.11,Compliant,Combo2
300,40.0,,17.0,3.39,Compliant,121Q
290,,,22.0,3.35,Compliant,105Q
400,,540.0,,3.47,Compliant,161Q
300,,700.0,,4.0,Compliant,216Q
400,,,23.0,3.75,Compliant,161Q
400,,540.0,,3.21,Compliant,161Q
300,,600.0,,3.88,Compliant,216Q
150,,,20.0,3.2,Compliant,Combo1
300,,,22.0,3.9,Compliant,132
300,,,24.0,3.67,Compliant,216Q
400,,,,,Uncompliant,161Q
100,,,15.0,2.97,Compliant,Combo2
400,,,27.0,4.0,Compliant,161Q
100,10.0,,,2.84,Compliant,088
290,30.0,,15.0,2.8,Compliant,105Q
100,,,16.0,2.5,Compliant,088
400,,,26.0,3.91,Compliant,151Q
300,,,21.0,3.97,Compliant,216Q
300,,,21.0,,Uncompliant,216Q
400,,,,,Uncompliant,151Q
400,,,24.0,3.49,Compliant,161Q
100,,,16.0,2.189,Compliant,088
100,,,,3.33,Compliant,Combo2
290,,,,3.06,Compliant,105Q
400,40.0,,19.0,3.43,Compliant,161Q
400,,,28.0,3.81,Compliant,151Q
300,,,18.0,3.9,Compliant,216Q
400,,,,4.0,Compliant,161Q
400,,,16.0,,Uncompliant,161Q
100,,,,3.36,Compliant,Combo2
250,,,19.0,3.0,Compliant,Combo3
400,,,17.0,3.82,Compliant,151Q
150,,,16.0,3.13,Compliant,090
250,25.0,,,3.5,Compliant,Combo3
250,25.0,,,3.0,Compliant,Combo3
150,15.0,,,2.63,Compliant,Combo1
300,,,20.0,3.86,Compliant,216Q
250,,,22.0,3.0,Compliant,Combo3
300,,,,,Uncompliant,216Q
400,,590.0,,3.02,Compliant,161Q
290,,,22.0,2.83,Compliant,105Q
500,,,31.0,3.75,Compliant,171Q
300,,620.0,,1.67,Uncompliant,121Q
300,,,,,Uncompliant,132
250,,,20.0,3.5,Compliant,Combo3
300,,,22.0,3.95,Compliant,216Q
300,,,16.0,3.85,Compliant,216Q
400,40.0,680.0,,4.0,Compliant,161Q
300,40.0,510.0,,3.99,Compliant,216Q
100,15.0,430.0,,4.0,Compliant,Combo2
400,,,,,Uncompliant,161Q
500,,590.0,,4.0,Compliant,171Q
400,,,25.0,3.17,Compliant,161Q
300,,,25.0,3.94,Compliant,216Q
250,,,16.0,2.72,Uncompliant,Combo3
150,,,17.0,3.63,Compliant,Combo1
100,,,,,Uncompliant,Combo2
100,10.0,,,3.03,Compliant,Combo2
400,,540.0,22.0,3.38,Compliant,161Q
300,,410.0,,3.6,Compliant,216Q
300,,,28.0,,Uncompliant,216Q
300,,,,3.29,Compliant,121Q
300,,640.0,28.0,4.0,Compliant,216Q
300,,,,,Uncompliant,216Q
400,40.0,,24.0,3.63,Compliant,151Q
100,15.0,,,2.9,Compliant,Combo2
290,,,28.0,3.64,Compliant,105Q
300,,610.0,24.0,3.66,Compliant,216Q
400,,,28.0,3.3,Compliant,161Q
300,,,19.0,3.52,Compliant,216Q
400,,,29.0,4.0,Compliant,161Q
400,,530.0,22.0,2.5,Uncompliant,161Q
300,,530.0,22.0,2.5,Uncompliant,216Q
300,30.0,,,3.86,Compliant,216Q
300,,550.0,,3.8,Compliant,121Q
150,,500.0,,,Compliant,Combo1
300,40.0,,,4.0,Compliant,216Q
300,,590.0,,4.0,Compliant,216Q
300,40.0,,,2.92,Compliant,121Q
400,,,25.0,3.37,Compliant,151Q
500,,,25.0,3.79,Compliant,165Q
400,,620.0,25.0,3.91,Compliant,161Q
300,,,23.0,3.4,Compliant,216Q
400,,620.0,,3.91,Compliant,151Q
400,40.0,520.0,18.0,3.0,Compliant,151Q
300,,610.0,,4.0,Compliant,216Q
400,,600.0,,3.89,Compliant,161Q
150,,530.0,,3.2,Compliant,Combo1
400,,,26.0,3.93,Compliant,151Q
100,,,18.0,3.96,Compliant,Combo2
300,,,22.0,3.91,Compliant,121Q
290,30.0,,,3.47,Compliant,105Q
300,,530.0,,3.77,Compliant,216Q
400,,,27.0,4.0,Compliant,161Q
300,40.0,,,3.52,Compliant,216Q
400,,,22.0,3.29,Compliant,161Q
300,,,28.0,4.0,Compliant,216Q
300,40.0,,,4.0,Compliant,132
250,30.0,,,3.54,Compliant,Combo3
300,25.0,570.0,,3.87,Compliant,121Q
400,,610.0,,4.06,Compliant,151Q
150,,,19.0,2.5,Compliant,Combo1
150,,510.0,,4.0,Compliant,090
300,,,23.0,3.66,Compliant,121Q
500,40.0,,25.0,4.0,Compliant,171Q
300,,570.0,,3.65,Compliant,121Q
100,,,,2.78,Uncompliant,Combo2
400,,,25.0,4.23,Compliant,151Q
500,40.0,650.0,,4.0,Compliant,171Q
250,,,20.0,3.86,Compliant,Combo3
300,,720.0,,4.0,Compliant,216Q
290,30.0,,17.0,3.51,Compliant,105Q
150,,,21.0,3.15,Compliant,Combo1
300,,750.0,,4.0,Compliant,216Q
500,,,28.0,4.0,Compliant,171Q
500,,720.0,,3.92,Compliant,171Q
400,,,25.0,3.09,Compliant,161Q
300,,,24.0,4.0,Compliant,216Q
100,,,,2.8,Uncompliant,Combo2
250,,,,2.8,Uncompliant,Combo3
400,,600.0,,3.76,Compliant,161Q
400,,,,3.51,Compliant,161Q
300,,540.0,,3.85,Compliant,121Q
400,40.0,,,4.0,Compliant,161Q
300,15.0,,22.0,3.8,Compliant,132
300,15.0,,22.0,3.8,Compliant,121Q
500,,690.0,,3.78,Compliant,171Q
300,,,31.0,4.0,Compliant,216Q
400,,,26.0,3.93,Compliant,161Q
400,,,33.0,3.84,Compliant,161Q
300,,590.0,,4.0,Compliant,121Q
300,40.0,,,,Compliant,216Q
500,40.0,,,,Uncompliant,171Q
400,,590.0,26.0,4.0,Compliant,161Q
300,30.0,,,2.85,Compliant,216Q
300,30.0,,,2.85,Compliant,121Q
400,30.0,,25.0,3.83,Compliant,151Q
500,,,27.0,3.96,Compliant,171Q
290,,,18.0,3.8,Compliant,105Q
300,,610.0,,3.75,Compliant,216Q
300,,540.0,,3.86,Compliant,121Q
300,40.0,,,4.0,Compliant,216Q
400,25.0,,23.0,3.61,Compliant,151Q
300,25.0,,23.0,3.61,Compliant,121Q
500,,,31.0,4.0,Compliant,171Q
400,,,26.0,3.66,Compliant,151Q
100,10.0,,16.0,2.87,Compliant,088
500,,650.0,,2.78,Uncompliant,171Q
500,,640.0,,3.17,Compliant,171Q
300,,530.0,,3.71,Compliant,121Q
300,,770.0,,4.0,Compliant,216Q
400,,,26.0,3.94,Compliant,161Q
300,40.0,,,3.73,Compliant,216Q
300,,590.0,,3.63,Compliant,216Q
500,,,29.0,3.71,Compliant,171Q
100,,,16.0,2.96,Compliant,Combo2
300,,580.0,,4.0,Compliant,121Q
